"teacher_id","full_name","department","role","year","experience_years","block_1","block_2","block_3","block_4","total_kpi"
"1","Aibek Tokayeva","School of Software Engineering","PROFESSOR","2021","8","31.1","27.4","17.8","0.0","78.0"
"1","Aibek Tokayeva","School of Software Engineering","PROFESSOR","2022","9","29.9","21.5","19.5","10.0","80.6"
"1","Aibek Tokayeva","School of Software Engineering","PROFESSOR","2023","10","30.1","17.8","18.1","10.0","75.1"
"1","Aibek Tokayeva","School of Software Engineering","PROFESSOR","2024","11","36.5","27.2","13.2","6.6","81.4"
"1","Aibek Tokayeva","School of Software Engineering","PROFESSOR","2025","12","36.6","30.0","15.3","10.0","90.0"
"2","Yerlan Kassymov","School of Software Engineering","PROFESSOR","2021","22","29.1","19.3","16.4","10.0","76.0"
"2","Yerlan Kassymov","School of Software Engineering","PROFESSOR","2022","23","32.3","24.8","13.4","10.0","78.3"
"2","Yerlan Kassymov","School of Software Engineering","PROFESSOR","2023","24","23.1","23.9","15.7","10.0","72.5"
"2","Yerlan Kassymov","School of Software Engineering","PROFESSOR","2024","25","25.4","17.9","16.2","10.0","71.1"
"2","Yerlan Kassymov","School of Software Engineering","PROFESSOR","2025","26","30.8","23.3","13.2","0.0","66.8"
"3","Kanat Zhumabayeva","School of Software Engineering","PROFESSOR","2021","2","20.2","12.7","9.2","10.0","52.4"
"3","Kanat Zhumabayeva","School of Software Engineering","PROFESSOR","2022","3","26.6","17.8","15.6","4.5","62.0"
"3","Kanat Zhumabayeva","School of Software Engineering","PROFESSOR","2023","4","26.3","16.6","13.4","10.0","66.0"
"3","Kanat Zhumabayeva","School of Software Engineering","PROFESSOR","2024","5","24.7","21.3","12.0","0.4","60.9"
"3","Kanat Zhumabayeva","School of Software Engineering","PROFESSOR","2025","6","26.0","25.9","16.9","9.6","77.0"
"4","Dastan Kenzhebayeva","School of Software Engineering","PROFESSOR","2021","8","28.7","18.1","9.4","10.0","64.3"
"4","Dastan Kenzhebayeva","School of Software Engineering","PROFESSOR","2022","9","29.7","22.5","12.9","10.0","76.0"
"4","Dastan Kenzhebayeva","School of Software Engineering","PROFESSOR","2023","10","24.7","14.6","12.7","5.8","55.4"
"4","Dastan Kenzhebayeva","School of Software Engineering","PROFESSOR","2024","11","23.3","24.2","14.1","10.0","68.7"
"4","Dastan Kenzhebayeva","School of Software Engineering","PROFESSOR","2025","12","29.4","25.0","10.6","10.0","77.6"
"5","Serik Rakhimov","School of Software Engineering","PROFESSOR","2021","23","24.2","16.0","10.5","8.5","56.3"
"5","Serik Rakhimov","School of Software Engineering","PROFESSOR","2022","24","30.7","16.5","13.9","0.0","62.1"
"5","Serik Rakhimov","School of Software Engineering","PROFESSOR","2023","25","31.2","17.5","18.4","5.5","72.9"
"5","Serik Rakhimov","School of Software Engineering","PROFESSOR","2024","26","31.8","24.4","12.4","8.0","76.7"
"5","Serik Rakhimov","School of Software Engineering","PROFESSOR","2025","27","32.2","17.5","9.3","10.0","71.4"
"6","Zhanna Khassanov","School of Software Engineering","PROFESSOR","2021","19","40.0","30.0","19.6","10.0","100.0"
"6","Zhanna Khassanov","School of Software Engineering","PROFESSOR","2022","20","34.7","30.0","17.0","10.0","89.4"
"6","Zhanna Khassanov","School of Software Engineering","PROFESSOR","2023","21","36.1","26.5","20.0","9.9","91.4"
"6","Zhanna Khassanov","School of Software Engineering","PROFESSOR","2024","22","40.0","29.7","16.2","0.0","87.0"
"6","Zhanna Khassanov","School of Software Engineering","PROFESSOR","2025","23","38.3","30.0","19.9","10.0","99.5"
"7","Aizat Suleimenov","School of Software Engineering","PROFESSOR","2021","23","18.9","13.2","15.6","6.7","54.3"
"7","Aizat Suleimenov","School of Software Engineering","PROFESSOR","2022","24","28.6","15.9","16.3","0.0","58.4"
"7","Aizat Suleimenov","School of Software Engineering","PROFESSOR","2023","25","21.9","21.7","12.3","10.0","65.7"
"7","Aizat Suleimenov","School of Software Engineering","PROFESSOR","2024","26","20.0","14.7","15.7","6.5","57.1"
"7","Aizat Suleimenov","School of Software Engineering","PROFESSOR","2025","27","29.7","20.5","12.1","8.8","72.0"
"8","Gulzat Tokayeva","School of Software Engineering","PROFESSOR","2021","5","19.7","12.6","7.4","10.0","47.3"
"8","Gulzat Tokayeva","School of Software Engineering","PROFESSOR","2022","6","19.4","10.3","12.5","4.1","48.8"
